selector,type,count,files
.0,class,67,".vscode\launch.json;app\admin\rag\page.jsx;app\api\auth\login-resend-otp\route.js;app\api\auth\login-step1\route.js;app\api\auth\login-step2\route.js;app\api\auth\password\reset\route.js;app\api\chat\analyze-file\route.js;app\api\chat\analyze-usage\route.js;app\api\chat\conversations\route.js;app\api\chat\conversations\[id]\messages\route.js;app\api\chat\conversations\[id]\route.js;app\api\chat\route.js;app\api\chat\run\route.js;app\api\profile\route.js;app\api\rag\selftest\route.js;app\api\rag\[...path]\route.js;app\api\register\route.js;app\api\subscription\route.js;app\error.jsx;app\layout.js;app\notfound.jsx;app\sitemap.js;app\start\page.jsx;app\taasta-parool\[token]\ResetPasswordForm.jsx;app\vestlus\page.js;auth.js;components\accessibility\AccessibilityModal.jsx;components\accessibility\AccessibilityProvider.jsx;components\admin\RagAdminPanel.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\ConversationDrawer.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\RegistreerimineBody.jsx;components\alalehed\TellimusBody.jsx;components\alalehed\UnustasinParooliBody.jsx;components\alalehed\UuendaEpostiBody.jsx;components\Animations\Magnet\Magnet.jsx;components\backgrounds\BackgroundLayer.jsx;components\backgrounds\ColorBends.jsx;components\backgrounds\Particles.jsx;components\ChatSidebar.jsx;components\effects\Backgrounds\FloatingLines\FloatingLines.jsx;components\effects\Components\Dock\Dock.jsx;components\HomePage.jsx;components\i18n\I18nProvider.jsx;components\LoginModal.jsx;components\pwa\ServiceWorkerRegistrar.jsx;components\Space.jsx;components\SplashCursor.jsx;components\TextAnimations\CircularText\CircularText.jsx;components\ui\FancyCheckbox.jsx;components\ui\FancyRadio.jsx;components\ui\SotsiaalAILoader.jsx;components\ViewportLayoutSetter.jsx;docs\LOCAL_DEV.md;docs\RAG_SETUP.md;lib\analyzeQuota.js;lib\auth\pin-login.js;lib\localizePath.js;lib\mailer.js;middleware.js;package-lock.json;package.json;rag-service\main.py;scripts\unused-css-report.js"
.particles-container,class,2,"components\backgrounds\BackgroundLayer.jsx;components\backgrounds\Particles.jsx"
.glass-box,class,16,"app\admin\rag\page.jsx;app\error.jsx;app\notfound.jsx;app\start\page.jsx;app\taasta-parool\[token]\ResetPasswordForm.jsx;components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\KasutustingimusedBody.jsx;components\alalehed\MeistBody.jsx;components\alalehed\PrivaatsusBody.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\RegistreerimineBody.jsx;components\alalehed\TellimusBody.jsx;components\alalehed\UnustasinParooliBody.jsx;components\alalehed\UuendaEpostiBody.jsx"
.glass-left,class,6,"app\admin\rag\page.jsx;app\start\page.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\MeistBody.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\TellimusBody.jsx"
.glass-right,class,0,""
.chat-container,class,2,"components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx"
.back-btn-wrapper,class,11,"app\taasta-parool\[token]\ResetPasswordForm.jsx;components\admin\RagAdminPanel.jsx;components\alalehed\KasutusjuhendBody.jsx;components\alalehed\KasutustingimusedBody.jsx;components\alalehed\MeistBody.jsx;components\alalehed\PrivaatsusBody.jsx;components\alalehed\ProfiilBody.jsx;components\alalehed\RegistreerimineBody.jsx;components\alalehed\TellimusBody.jsx;components\alalehed\UnustasinParooliBody.jsx;components\alalehed\UuendaEpostiBody.jsx"
.avatar-link,class,2,"components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx"
.chat-avatar-abs,class,2,"components\alalehed\ChatBody.jsx;components\alalehed\ChatBodyBackup.jsx"
.splash-cursor,class,1,"components\backgrounds\BackgroundLayer.jsx"
