timestamp_eest,measurement_group,target_idle_bucket,accepted_for_target_bucket,request_order,query_variant,rag_call_index,request_id,observability_stage,frontend_pid,frontend_uptime_ms,time_since_previous_rag_request_ms,embedding_duration_ms,retriever_duration_ms,retrieval_total_ms,retrieval_timeout_ms,aborted_stage,http_status,outcome,source_count,journal_embedding_ms,journal_retrieval_ms,journal_total_ms,journal_stage_count,journal_duplicate_count,journal_upstream_stage,timings_match_journal,notes
2026-08-01T12:27:53+03:00,setup-smoke-1785576473276,60-120m,false,1,A,0,rag-7078493b-d13c-439f-8514-189b3de85049,rag_search,134972,,5148398,1464,4638,6103,12000,,200,ok,4,1464,4638,6103,3,0,rag_search,true,setup_smoke|ok
2026-08-01T12:28:13+03:00,setup-smoke-1785576473276,60-120m,false,2,B,0,rag-0f982949-ee94-445a-9c55-df92ea3c82e4,rag_search,134972,,19797,245,4652,4898,12000,,200,ok,4,245,4652,4898,3,0,rag_search,true,setup_smoke|ok
