"surface_type","router","route_pattern","file","route_group","dynamic_params","premap_status"
"api-route","app-router","/api/casework/cases/:caseId/drafts","app/api/casework/cases/[caseId]/drafts/route.js","casework","caseId","inventory_update_2026-08-08"
"api-route","app-router","/api/casework/cases/:caseId/drafts/:draftId","app/api/casework/cases/[caseId]/drafts/[draftId]/route.js","casework","caseId|draftId","inventory_update_2026-08-08"
"api-route","app-router","/api/casework/cases/:caseId/drafts/:draftId/copy-events","app/api/casework/cases/[caseId]/drafts/[draftId]/copy-events/route.js","casework","caseId|draftId","inventory_update_2026-08-08"
"api-route","app-router","/api/casework/cases/:caseId/drafts/:draftId/fields","app/api/casework/cases/[caseId]/drafts/[draftId]/fields/route.js","casework","caseId|draftId","inventory_update_2026-08-08"
"api-route","app-router","/api/casework/cases/:caseId/drafts/:draftId/mark-transferred","app/api/casework/cases/[caseId]/drafts/[draftId]/mark-transferred/route.js","casework","caseId|draftId","inventory_update_2026-08-08"
"api-route","app-router","/api/casework/cases/:caseId/drafts/:draftId/star2-block","app/api/casework/cases/[caseId]/drafts/[draftId]/star2-block/route.js","casework","caseId|draftId","inventory_update_2026-08-08"
"api-route","app-router","/api/casework/cases/:caseId/drafts/:draftId/transition","app/api/casework/cases/[caseId]/drafts/[draftId]/transition/route.js","casework","caseId|draftId","inventory_update_2026-08-08"
"api-route","app-router","/api/casework/cases/:caseId/transfer-events","app/api/casework/cases/[caseId]/transfer-events/route.js","casework","caseId","inventory_update_2026-08-08"
"api-route","app-router","/api/casework/cases/:caseId/working-material","app/api/casework/cases/[caseId]/working-material/route.js","casework","caseId","inventory_update_2026-08-08"
