"route_pattern","page_file","direct_imports","api_refs","action_imports","scan_status"
"/teenuspaevik","app/teenuspaevik/page.jsx","@/components/serviceLog/ServiceLogShell; @/lib/i18n; @/lib/metadata; @/lib/serviceLog/flags","","","static_import_scan"
"/tellimus","app/tellimus/page.js","@/components/alalehed/TellimusBody; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/toimetulekutoetus","app/toimetulekutoetus/page.jsx","@/components/benefits/SubsistenceCalculator; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/tooalase-kasutuse-raamistik","app/tooalase-kasutuse-raamistik/page.jsx","@/components/alalehed/TooalaseRaamistikuBody; @/lib/frameworkDocument; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/tooheaolu","app/tooheaolu/page.jsx","@/auth; @/components/ui/SubscriptionReadOnlyBanner; @/components/wellbeing/WellbeingPage; @/lib/authz; @/lib/i18n; @/lib/localizePath; @/lib/metadata; @/lib/wellbeingTools","","","static_import_scan"
"/tooheaolu/:tool","app/tooheaolu/[tool]/page.jsx","@/auth; @/components/ui/SubscriptionReadOnlyBanner; @/components/wellbeing/WellbeingPage; @/lib/authz; @/lib/i18n; @/lib/localizePath; @/lib/metadata; @/lib/wellbeingTools","","","static_import_scan"
"/tooheaolu/piloot","app/tooheaolu/piloot/page.jsx","@/auth; @/components/admin/rag/ragAdminShellStyles; @/lib/i18n; @/lib/localizePath; @/lib/wellbeing/pilotAccess; ./WellbeingPilotClient","","","static_import_scan"
"/toolaud","app/toolaud/page.jsx","@/lib/i18n; @/lib/metadata","","","static_import_scan"
"/toolaud/juhtumitoo","app/toolaud/juhtumitoo/page.jsx","@/components/casework/CaseWorkbenchShell; @/lib/casework/flags; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/toolaud/kiireloomuline-abi","app/toolaud/kiireloomuline-abi/page.jsx","@/auth; @/components/urgent/UrgentDeskView; @/lib/i18n; @/lib/localizePath","","","static_import_scan"
"/toolaud/kovisioon","app/toolaud/kovisioon/page.jsx","@/lib/i18n; @/lib/metadata","","","static_import_scan"
"/toolaud/tooheaolu","app/toolaud/tooheaolu/page.jsx","@/lib/i18n; @/lib/metadata","","","static_import_scan"
"/uuenda-epost","app/uuenda-epost/page.js","@/components/alalehed/UuendaEpostiBody; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/uuenda-pin","app/uuenda-pin/page.js","@/components/alalehed/UuendaPinBody; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/valitoo","app/valitoo/page.jsx","@/components/field/FieldShell; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/valitoo/:visitId","app/valitoo/[visitId]/page.jsx","@/components/field/FieldVisitRoom; @/lib/i18n; @/lib/metadata","","","static_import_scan"
"/vestlus","app/vestlus/page.js","@/lib/i18n; @/lib/metadata; @/components/alalehed/ChatBody; @/components/alalehed/ConversationDrawer; @/components/ChatSidebar; @/lib/localizePath","","","static_import_scan"
"/voimalused","app/voimalused/page.jsx","@/components/alalehed/VoimalusedBody; @/lib/i18n; @/lib/metadata","","","static_import_scan"
