name,definitions,distinct_values,top_values
--documents-agent-thread-border,10,10,"rgba(var(--mono-mid-rgb), 0.1) [1 files] || rgba(255, 234, 0, 0.5) [1 files] || color-mix(in srgb, rgba(255, 255, 255, 0.18) 72%, transparent) [1 files] || rgba(190, 196, 208, 0.26) [1 files] || rgba(255, 255, 255, 0.2) [1 files]"
--documents-content-border,10,9,"rgba(255, 255, 255, 0.055) [1 files] || rgba(var(--mono-mid-rgb), 0.1) [1 files] || rgba(255, 234, 0, 0.54) [1 files] || color-mix(in srgb, rgba(255, 255, 255, 0.22) 72%, transparent) [1 files] || rgba(156, 138, 145, 0.3) [1 files]"
--documents-panel-border,10,9,"rgba(255, 255, 255, 0.06) [1 files] || rgba(var(--mono-mid-rgb), 0.11) [1 files] || color-mix(in srgb, rgba(255, 255, 255, 0.2) 70%, transparent) [1 files] || rgba(190, 196, 208, 0.36) [1 files] || rgba(156, 138, 145, 0.32) [1 files]"
--policy-content-fade-bottom,10,8,"clamp(3.9rem, 7.2vh, 5rem) [1 files] || clamp(4.8rem, 8.7vh, 6.2rem) [1 files] || clamp(3.7rem, 7vh, 4.9rem) [1 files] || clamp(3.5rem, 6.6vh, 4.7rem) [1 files] || clamp(4rem, 7.4vh, 5.2rem) [1 files]"
--policy-content-fade-top-open,10,8,"clamp(0.44rem, 1vh, 0.72rem) [1 files] || clamp(0.58rem, 1.2vh, 0.95rem) [1 files] || clamp(0.42rem, 0.95vh, 0.7rem) [1 files] || clamp(0.36rem, 0.85vh, 0.62rem) [1 files] || clamp(0.48rem, 1vh, 0.72rem) [1 files]"
--policy-content-fade-bottom-open,10,7,"clamp(5.8rem, 10.8vh, 7.6rem) [1 files] || clamp(4.9rem, 9vh, 6.5rem) [1 files] || clamp(4.8rem, 8.8vh, 6.4rem) [1 files] || clamp(4.6rem, 8.5vh, 6rem) [1 files] || clamp(5.1rem, 9.2vh, 6.6rem) [1 files]"
--seg-card-text-hover,10,7,var(--hc-accent) [3 files] || var(--pt-100) [1 files] || #8f5550 [1 files] || var(--title-color) [1 files] || #81504b [1 files]
--wellbeing-dropdown-text,10,6,"#253246 [1 files] || #1f2a39 [1 files] || var(--mono-text, #f4f7ed) [1 files] || var(--hc-accent, #ffea00) [1 files] || var(--wellbeing-text) [1 files]"
--seg-card-border,10,5,"transparent [4 files] || rgba(255, 234, 0, 0.66) [2 files] || rgba(var(--hc-accent-rgb),0.62) [1 files] || rgba(var(--hc-accent-rgb), 0.62) [1 files] || rgba(126, 95, 88, 0.16) [1 files]"
--ring-scale,10,4,1 [6 files] || 0.78 [1 files] || 0.82 [1 files] || 1.1 [1 files]
--wellbeing-dropdown-selected-text,10,3,"rgba(255, 255, 255, 0.96) [1 files] || var(--mono-text, #f4f7ed) [1 files] || #000 [1 files]"
--card-size,9,9,"clamp(11.875rem, 76vw, 16.625rem) [1 files] || clamp(13.5rem, 30vw, 21rem) [1 files] || clamp(15.5rem, 30vw, 23.5rem) [1 files] || clamp(16.75rem, 34vw, 25.5rem) [1 files] || clamp(19.5rem, 27vw, 28rem) [1 files]"
--documents-agent-stage-border,9,9,"rgba(var(--mono-mid-rgb), 0.1) [1 files] || rgba(255, 234, 0, 0.48) [1 files] || color-mix(in srgb, rgba(255, 255, 255, 0.16) 72%, transparent) [1 files] || rgba(190, 196, 208, 0.22) [1 files] || rgba(255, 255, 255, 0.18) [1 files]"
--chat-rail-tooltip-bg,9,8,"var(--mono-tooltip-surface) [1 files] || var(--mono-tooltip-surface, var(--mono-floating-surface, rgba(38, 38, 38, 0.72))) [1 files] || var(--chat-card-surface-night-flat-bg) [1 files] || rgb(26, 29, 34) [1 files] || var(--chat-tools-panel-bg) [1 files]"
--documents-soft-shadow,9,8,"0 10px 24px rgba(0, 0, 0, 0.16) [1 files] || none [1 files] || var(--documents-glass-shadow) [1 files] || 0 4px 14px rgba(15, 23, 42, 0.05) [1 files] || 0 5px 14px rgba(26, 18, 18, 0.08) [1 files]"
--documents-strong-shadow,9,8,"0 12px 28px rgba(0, 0, 0, 0.2) [1 files] || none [1 files] || var(--documents-glass-shadow) [1 files] || 0 6px 18px rgba(15, 23, 42, 0.06) [1 files] || 0 7px 18px rgba(26, 18, 18, 0.1) [1 files]"
--chat-tools-panel-bg,9,7,"rgb(18, 26, 40) [2 files] || var(--mono-tooltip-surface) [1 files] || var(--mono-tooltip-surface, var(--rail-tooltip-bg)) [1 files] || rgba(31, 33, 38, 0.99) [1 files] || rgb(26, 29, 34) [1 files]"
--pin-gloss-op,9,7,0.08 [2 files] || 0.1 [1 files] || 0 !important [1 files] || 0.28 [1 files] || 0.2 [1 files]
--seg-card-bg-active,9,6,"var(--seg-card-bg) [4 files] || var(--btn-primary-bg-active) [1 files] || rgba(255, 234, 0, 0.16) [1 files] || var( --seg-card-bg-hover, var(--seg-card-bg-selected, var(--seg-card-bg)) ) [1 files] || var( --seg-card-bg-selected, var(--seg-card-bg) ) [1 files]"
--seg-card-border-selected,9,6,"var( --seg-card-border-hover, var(--seg-card-border) ) [4 files] || rgba(var(--hc-accent-rgb), 0.94) [1 files] || rgba(255, 234, 0, 0.94) [1 files] || transparent [1 files] || rgba(126, 95, 88, 0.19) [1 files]"
--seg-card-text,9,6,"var(--hc-accent) [3 files] || var(--text-strong) [1 files] || var(--btn-primary-text) [1 files] || #2f3a4a [1 files] || rgba(245, 245, 245, 0.95) [1 files]"
--seg-card-text-selected,9,6,var(--hc-accent) [3 files] || #9a5a55 [1 files] || var(--title-color) [1 files] || #7a3a38 [1 files] || var(--mono-title-soft) [1 files]
--orbit-button-shadow-hover,9,5,"var(--orbit-keypad-shadow) [2 files] || 0 0 20px rgba(255, 255, 255, 0.28), inset 0 0 0 1px rgba(255, 255, 255, 0.045), inset 0 1px 0 rgba(255, 255, 255, 0.034) [1 files] || 0 10px 22px rgba(0, 0, 0, 0.24), inset 0 0 0 1px rgba(var(--hc-accent-rgb), 0.065), inset 0 1px 0 rgba(255, 250, 180, 0.035) [1 files] || 0 0 20px rgba(var(--mono-light-rgb), 0.18), inset 0 0 0 1px rgba(var(--mono-mid-rgb), 0.05), inset 0 1px 0 rgba(var(--mono-mid-rgb), 0.04) [1 files] || 0 9px 15px rgba(0, 0, 0, 0.26) [1 files]"
--seg-card-shadow,9,5,"none [2 files] || var(--btn-primary-shadow) [2 files] || var(--input-shadow) [2 files] || 0 5px 12px rgba(15, 23, 42, 0.08) [1 files] || var(--mid-unified-surface-shadow) [1 files]"
--card-logo-back,8,8,"clamp(2.65rem, calc(var(--card-size) * 0.25), 7rem) [1 files] || clamp(2.9rem, calc(var(--card-size) * 0.25), 7.5rem) [1 files] || clamp(3.1rem, calc(var(--card-size) * 0.25), 8.2rem) [1 files] || clamp(3.8rem, calc(var(--card-size) * 0.25), 9.2rem) [1 files] || calc( clamp(2.65rem, calc(var(--card-size) * 0.25), 7rem) * 0.91525 ) [1 files]"
--card-logo-front-left,8,8,"clamp(4.2rem, calc(var(--card-size) * 0.48), 11.4rem) [1 files] || clamp( 4.8rem, calc(var(--card-size) * 0.48), 12.8rem ) [1 files] || clamp( 5.2rem, calc(var(--card-size) * 0.48), 13.8rem ) [1 files] || clamp( 6.2rem, calc(var(--card-size) * 0.48), 12.9rem ) [1 files] || calc( clamp(4.2rem, calc(var(--card-size) * 0.48), 11.4rem) * 0.91525 ) [1 files]"
--card-logo-front-right,8,8,"clamp(3.9rem, calc(var(--card-size) * 0.4), 10.6rem) [1 files] || clamp( 4.3rem, calc(var(--card-size) * 0.4), 11.6rem ) [1 files] || clamp( 4.7rem, calc(var(--card-size) * 0.4), 12.4rem ) [1 files] || clamp( 5.7rem, calc(var(--card-size) * 0.4), 11.4rem ) [1 files] || calc( clamp(3.9rem, calc(var(--card-size) * 0.4), 10.6rem) * 0.91525 ) [1 files]"
--documents-agent-thread-shadow,8,8,"var(--subpage-card-shadow) [1 files] || none [1 files] || var(--documents-glass-shadow) [1 files] || 0 4px 14px rgba(15, 23, 42, 0.05) [1 files] || 0 5px 14px rgba(18, 14, 16, 0.08) [1 files]"
--input-surface-overlay-focus,8,8,"inset 0 0 0 999px rgba(var(--dark-white-rgb), 0.04) [1 files] || inset 0 0 0 999px rgba(255, 255, 255, 0) [1 files] || inset 0 0 0 999px rgba(255, 255, 255, 0.078) [1 files] || inset 0 0 0 999px rgba(var(--mid-white-rgb), 0) [1 files] || inset 0 0 0 999px rgba(255, 255, 255, 0.1) [1 files]"
--input-surface-overlay-hover,8,8,"inset 0 0 0 999px rgba(var(--dark-white-rgb), 0.02) [1 files] || inset 0 0 0 999px rgba(255, 255, 255, 0) [1 files] || inset 0 0 0 999px rgba(255, 255, 255, 0.065) [1 files] || inset 0 0 0 999px rgba(var(--mid-white-rgb), 0) [1 files] || inset 0 0 0 999px rgba(255, 255, 255, 0.08) [1 files]"
--subpage-card-text,8,8,var(--documents-page-text) [1 files] || var(--pt-120) [1 files] || var(--hc-accent) [1 files] || #334155 [1 files] || #2f3a4a [1 files]
--documents-chip-text,8,7,"rgba(238, 244, 255, 0.94) [1 files] || var(--mono-text) [1 files] || var(--hc-accent) [1 files] || color-mix(in srgb, var(--glass-modal-text) 88%, transparent) [1 files] || #465161 [1 files]"
--documents-surface-panel-border,8,7,"rgba(255, 255, 255, 0.06) [1 files] || rgba(var(--mono-mid-rgb), 0.11) [1 files] || rgba(255, 234, 0, 0.54) [1 files] || var(--documents-panel-border) [1 files] || rgba(190, 196, 208, 0.28) [1 files]"
--orbit-button-shadow-center-hover,8,7,"0 0 28px rgba(255, 255, 255, 0.38), inset 0 0 0 1px rgba(255, 255, 255, 0.07), inset 0 1px 0 rgba(255, 255, 255, 0.05) [1 files] || 0 0 17px rgba(var(--hc-accent-rgb), 0.48), 0 0 32px rgba(var(--hc-accent-rgb), 0.28), 0 0 46px rgba(var(--hc-accent-rgb), 0.14), inset 0 0 0 1px rgba(var(--hc-accent-rgb), 0.2), inset 0 1px 0 rgba(255, 250, 180, 0.09) [1 files] || 0 0 28px rgba(var(--mono-light-rgb), 0.22), inset 0 0 0 1px rgba(var(--mono-mid-rgb), 0.08), inset 0 1px 0 rgba(var(--mono-mid-rgb), 0.05) [1 files] || 0 11px 19px rgba(0, 0, 0, 0.28) [1 files] || 0 0 28px rgba(255, 255, 255, 0.38), var(--orbit-keypad-shadow) [1 files]"
--seg-radio-border,8,7,"rgba(var(--hc-accent-rgb),0.7) [1 files] || rgba(var(--hc-accent-rgb), 0.72) [1 files] || rgba(255, 234, 0, 0.78) [1 files] || rgba(122, 58, 56, 0.24) [1 files] || rgba(255, 255, 255, 0.56) [1 files]"
--mobile-header-control-top,8,6,"calc( var(--glass-ring-pad-top, 0px) + var(--workspace-guide-panel-overscan-top, 0px) + var(--mobile-header-back-top) - 0.74rem ) [2 files] || -0.62rem [1 files] || calc( var(--policy-scroll-edge-pad-top, 0px) + var(--policy-scroll-overscan-top, 0px) - 0.9rem ) [1 files] || calc( var(--policy-scroll-edge-pad-top, 0px) + var(--policy-scroll-overscan-top, 0px) + var(--mobile-header-back-top) - 0.74rem ) [1 files] || var(--mobile-header-back-top) [1 files]"
--home-link-color,8,5,"var(--mono-title) [2 files] || var(--hc-accent) [1 files] || var(--home-quick-mid-surface-color, rgba(238, 228, 222, 0.98)) [1 files] || var(--link-color, #7a3a38) [1 files] || var(--brand-primary) [1 files]"
--home-scroll-cue-color,8,5,"var(--mono-title) [2 files] || #c57171 [2 files] || #7a3a38 [1 files] || rgba(226, 196, 188, 0.9) [1 files] || var(--hc-accent) [1 files]"
--input-surface-overlay,8,5,"inset 0 0 0 999px rgba(255, 255, 255, 0) [4 files] || inset 0 0 0 999px rgba(var(--dark-white-rgb), 0) [1 files] || inset 0 0 0 999px rgba(var(--mid-white-rgb), 0) [1 files] || inset 0 0 0 999px rgba(230, 230, 230, 0) [1 files] || inset 0 0 0 999px rgba(222, 236, 255, 0) [1 files]"
--covision-card-shadow,8,4,"none [3 files] || var(--subpage-card-shadow, none) [1 files] || 0 10px 24px rgba(82, 50, 46, 0.1) [1 files] || 0 10px 24px rgba(38, 24, 22, 0.12) [1 files]"
--ring-fit-pad,8,4,calc(1.3 * var(--base-rem)) [4 files] || calc(1.5 * var(--base-rem)) [2 files] || calc(1.8 * var(--base-rem)) [1 files] || calc(1.6 * var(--base-rem)) [1 files]
--ring-ui-reserve,8,4,calc(2 * var(--base-rem)) [4 files] || calc(2.5 * var(--base-rem)) [2 files] || calc(6.5 * var(--base-rem)) [1 files] || calc(6 * var(--base-rem)) [1 files]
--seg-card-border-width,8,3,2px [3 files] || 1px [1 files] || 1.5px [1 files]
--documents-surface-panel-text,8,2,var(--documents-page-text) [1 files] || var(--hc-accent) [1 files]
--btn-primary-focus-ring-color,7,7,"rgba(255, 234, 0, 0.42) [1 files] || var(--hc-focus-ring) [1 files] || rgba(197, 113, 113, 0.24) [1 files] || rgba(147, 111, 105, 0.22) [1 files] || rgba(230, 230, 230, 0.24) [1 files]"
--documents-agent-composer-shadow,7,7,"none [1 files] || var(--documents-glass-shadow) [1 files] || 0 4px 12px rgba(15, 23, 42, 0.05) [1 files] || 0 5px 14px rgba(18, 14, 16, 0.08) [1 files] || var(--glass-shell-shadow, 0 18px 38px rgba(2, 6, 14, 0.24)) [1 files]"
--documents-agent-composer-shadow-hover,7,7,"none [1 files] || var(--documents-glass-shadow) [1 files] || 0 5px 14px rgba(15, 23, 42, 0.06) [1 files] || 0 6px 16px rgba(18, 14, 16, 0.09) [1 files] || var(--glass-shell-shadow, 0 18px 38px rgba(2, 6, 14, 0.24)) [1 files]"
--documents-chip-border,7,7,"rgba(var(--mono-mid-rgb), 0.14) [1 files] || rgba(255, 234, 0, 0.62) [1 files] || color-mix(in srgb, var(--panel-secondary-border) 62%, transparent) [1 files] || rgba(148, 163, 184, 0.24) [1 files] || rgba(148, 180, 255, 0.1) [1 files]"
--pre-inquiry-dropdown-active-bg,7,7,"color-mix(in srgb, var(--workspace-feature-accent) 14%, var(--workspace-feature-surface-hover)) [1 files] || rgba(122, 58, 56, 0.12) [1 files] || rgba(122, 58, 56, 0.16) [1 files] || rgba(197, 113, 113, 0.18) [1 files] || rgba(140, 180, 235, 0.18) [1 files]"
--pre-inquiry-dropdown-bg,7,7,"var(--workspace-feature-field-bg) [1 files] || rgba(252, 249, 247, 0.94) [1 files] || rgba(235, 226, 222, 0.82) [1 files] || rgba(31, 33, 38, 0.88) [1 files] || rgba(15, 24, 38, 0.9) [1 files]"
--pre-inquiry-dropdown-bg-hover,7,7,"var(--workspace-feature-field-bg-hover) [1 files] || rgba(255, 252, 250, 0.98) [1 files] || rgba(241, 232, 228, 0.9) [1 files] || rgba(39, 42, 49, 0.94) [1 files] || rgba(19, 30, 46, 0.96) [1 files]"
--pre-inquiry-dropdown-border,7,7,"var(--workspace-feature-field-border) [1 files] || 1px solid rgba(122, 58, 56, 0.14) [1 files] || 1px solid rgba(122, 58, 56, 0.16) [1 files] || 1px solid rgba(255, 255, 255, 0.11) [1 files] || 1px solid rgba(170, 204, 245, 0.2) [1 files]"
--pre-inquiry-dropdown-item-bg-hover,7,7,"var(--workspace-feature-surface-hover) [1 files] || rgba(247, 240, 237, 0.98) [1 files] || rgba(229, 217, 212, 0.92) [1 files] || rgba(43, 47, 56, 0.96) [1 files] || rgba(23, 38, 58, 0.98) [1 files]"
--pre-inquiry-dropdown-menu-bg,7,7,"var(--opaque-panel-bg, var(--workspace-feature-surface-strong)) [1 files] || rgba(255, 252, 250, 0.99) [1 files] || rgba(241, 232, 228, 0.98) [1 files] || rgba(26, 28, 34, 0.99) [1 files] || rgba(11, 20, 34, 0.99) [1 files]"
--pre-inquiry-dropdown-menu-border,7,7,"var(--workspace-feature-border-strong) [1 files] || rgba(122, 58, 56, 0.18) [1 files] || rgba(122, 58, 56, 0.2) [1 files] || rgba(255, 255, 255, 0.12) [1 files] || rgba(170, 204, 245, 0.22) [1 files]"
--pre-inquiry-dropdown-menu-shadow,7,7,"inset 0 0 0 1px rgba(255, 255, 255, 0.06), var(--workspace-feature-shadow) [1 files] || 0 16px 34px rgba(82, 50, 46, 0.14) [1 files] || 0 14px 30px rgba(31, 23, 22, 0.18) [1 files] || 0 16px 32px rgba(0, 0, 0, 0.34) [1 files] || 0 16px 34px rgba(2, 6, 16, 0.38) [1 files]"
--pre-inquiry-dropdown-muted,7,7,"var(--workspace-feature-field-placeholder) [1 files] || rgba(71, 85, 105, 0.74) [1 files] || rgba(71, 85, 105, 0.76) [1 files] || rgba(226, 232, 240, 0.72) [1 files] || rgba(202, 221, 245, 0.76) [1 files]"
--pre-inquiry-dropdown-shadow,7,7,"var(--workspace-feature-field-shadow) [1 files] || 0 8px 20px rgba(82, 50, 46, 0.08) [1 files] || 0 8px 18px rgba(31, 23, 22, 0.12) [1 files] || 0 8px 18px rgba(0, 0, 0, 0.22) [1 files] || 0 8px 20px rgba(2, 6, 16, 0.24) [1 files]"
--ring-pad-x,7,7,"clamp( 0.22rem, calc(var(--ring-diameter, var(--ring-diameter-default)) * 0.01), min( var(--workspace-glass-max), max(var(--ring-base-min, calc(34 * var(--base-rem))), var(--workspace-glass-fit)) ) ) [1 files] || clamp( 0.22rem, calc(var(--ring-diameter, var(--ring-diameter-default)) * 0.01), 0.82rem ) [1 files] || clamp( 0.9rem, calc(var(--ring-diameter, var(--ring-diameter-default)) * 0.022), 1.3rem ) [1 files] || clamp( calc(1.8 * var(--base-rem)), 5vw, calc(3.2 * var(--base-rem)) ) [1 files] || clamp( calc(1.2 * var(--base-rem)), 4vw, calc(2.2 * var(--base-rem)) ) [1 files]"
--wellbeing-card-bg,7,7,"color-mix(in srgb, var(--glass-ring-surface-bg, rgba(15, 18, 24, 0.7)) 34%, transparent) [1 files] || color-mix(in srgb, var(--glass-ring-surface-bg, rgba(255, 255, 255, 0.88)) 56%, transparent) [1 files] || color-mix(in srgb, var(--glass-ring-surface-bg, rgba(214, 198, 189, 0.78)) 30%, transparent) [1 files] || color-mix(in srgb, rgba(12, 18, 27, 0.78) 36%, transparent) [1 files] || color-mix(in srgb, rgba(13, 20, 32, 0.84) 32%, transparent) [1 files]"
--wellbeing-card-border,7,7,"rgba(248, 253, 255, 0.2) [1 files] || rgba(122, 58, 56, 0.18) [1 files] || rgba(255, 255, 255, 0.48) [1 files] || rgba(255, 255, 255, 0.13) [1 files] || rgba(133, 164, 216, 0.18) [1 files]"
--wellbeing-card-border-strong,7,7,"rgba(248, 253, 255, 0.3) [1 files] || rgba(122, 58, 56, 0.28) [1 files] || rgba(255, 255, 255, 0.66) [1 files] || rgba(205, 133, 133, 0.26) [1 files] || rgba(205, 133, 133, 0.32) [1 files]"
--wellbeing-card-hover-bg,7,7,"color-mix(in srgb, var(--glass-ring-surface-bg, rgba(15, 18, 24, 0.7)) 42%, transparent) [1 files] || color-mix(in srgb, var(--glass-ring-surface-bg, rgba(255, 255, 255, 0.94)) 66%, transparent) [1 files] || color-mix(in srgb, var(--glass-ring-surface-bg, rgba(214, 198, 189, 0.78)) 38%, transparent) [1 files] || color-mix(in srgb, rgba(20, 27, 38, 0.82) 44%, transparent) [1 files] || color-mix(in srgb, rgba(20, 30, 45, 0.88) 42%, transparent) [1 files]"
--drawer-card-shadow-hover,7,6,"var(--subpage-card-shadow-hover) [2 files] || none [1 files] || var(--subpage-card-shadow-hover, var(--subpage-card-shadow)) [1 files] || 0 0 14px rgba(255, 234, 0, 0.14), 0 12px 26px rgba(0, 0, 0, 0.24), 0 0 28px -16px rgba(255, 234, 0, 0.2) [1 files] || 0 0 0.68rem rgba(82, 50, 46, 0.038), 0 0.58rem 1.08rem rgba(82, 50, 46, 0.084) [1 files]"
--home-panel-shadow-active,7,6,"0 0 14px rgba(230, 230, 230, 0.16), 0 0 30px rgba(230, 230, 230, 0.08) [2 files] || 0 18px 36px rgba(0, 0, 0, 0.16) [1 files] || 0 14px 30px rgba(20, 12, 10, 0.19) [1 files] || 0 0 12px rgba(248, 253, 255, 0.2), 0 0 24px rgba(248, 253, 255, 0.1) [1 files] || 0 0 14px rgba(255, 248, 186, 0.26), 0 0 28px rgba(var(--hc-accent-rgb),0.12) [1 files]"
--home-panel-shadow-idle,7,6,"0 0 12px rgba(230, 230, 230, 0.12), 0 0 24px rgba(230, 230, 230, 0.06) [2 files] || 0 14px 30px rgba(0, 0, 0, 0.14) [1 files] || 0 11px 24px rgba(20, 12, 10, 0.16) [1 files] || 0 0 10px rgba(248, 253, 255, 0.14), 0 0 20px rgba(248, 253, 255, 0.065) [1 files] || 0 0 12px rgba(255, 245, 160, 0.22), 0 0 24px rgba(var(--hc-accent-rgb),0.1) [1 files]"
--mobile-header-control-info-top,7,6,"calc( var(--glass-ring-pad-top, 0px) + var(--workspace-guide-panel-overscan-top, 0px) + var(--mobile-header-info-top) - 0.74rem ) [2 files] || calc( var(--policy-scroll-edge-pad-top, 0px) + var(--policy-scroll-overscan-top, 0px) - 0.625rem ) [1 files] || calc( var(--policy-scroll-edge-pad-top, 0px) + var(--policy-scroll-overscan-top, 0px) + var(--mobile-header-info-top) - 0.74rem ) [1 files] || var(--mobile-header-info-top) [1 files] || calc( var(--glass-ring-pad-top, 0px) + var(--workspace-guide-panel-overscan-top, 0px) + var(--mobile-header-info-top) - 1.69rem ) [1 files]"
--pre-inquiry-dropdown-active-text,7,6,"#7a3a38 [1 files] || var(--workspace-feature-accent) [1 files] || rgba(255, 205, 205, 0.98) [1 files] || rgba(208, 229, 255, 0.98) [1 files] || rgba(245, 245, 245, 0.98) [1 files]"
--pre-inquiry-dropdown-text,7,6,"#2f3a4a [1 files] || var(--workspace-feature-field-text) [1 files] || rgba(248, 250, 252, 0.94) [1 files] || rgba(239, 246, 255, 0.95) [1 files] || rgba(245, 245, 245, 0.95) [1 files]"
--seg-radio-inner-ring,7,6,"inset 0 0 0 1px rgba(var(--hc-accent-rgb),0.28) [1 files] || inset 0 0 0 1px rgba(var(--hc-accent-rgb), 0.3) [1 files] || inset 0 0 0 1px rgba(0, 0, 0, 0.18) [1 files] || inset 0 0 0 1px rgba(122, 58, 56, 0.2) [1 files] || inset 0 0 0 1px rgba(214, 214, 214, 0.12) [1 files]"
--chat-ui-solid-surface,7,5,"rgb(18, 26, 40) [2 files] || rgb(19, 19, 19) [1 files] || rgb(26, 29, 34) [1 files] || rgb(249, 249, 248) [1 files] || rgb(231, 223, 219) [1 files]"
--chat-upload-picker-bg,7,5,"rgb(18, 26, 40) [2 files] || var(--chat-card-surface-strong-bg) [1 files] || rgb(26, 29, 34) [1 files] || rgb(249, 249, 248) [1 files] || var(--mid-utility-panel-bg) [1 files]"
--drawer-card-shadow,7,5,"var(--subpage-card-shadow) [3 files] || none [1 files] || 0 0 12px rgba(255, 234, 0, 0.1), 0 10px 22px rgba(0, 0, 0, 0.2), 0 0 24px -16px rgba(255, 234, 0, 0.16) [1 files] || 0 0 0.55rem rgba(82, 50, 46, 0.03), 0 0.48rem 0.95rem rgba(82, 50, 46, 0.072) [1 files] || 0 0 0.55rem rgba(82, 50, 46, 0.032), 0 0.48rem 0.95rem rgba(20, 12, 10, 0.088) [1 files]"
--drawer-delete-border,7,5,"var(--opaque-panel-border) [3 files] || rgba(var(--hc-accent-rgb), 0.62) [1 files] || var(--opaque-panel-border, var(--subpage-card-border)) [1 files] || rgba(255, 255, 255, 0.42) [1 files] || rgba(167, 145, 137, 0.34) [1 files]"
--drawer-delete-text,7,5,"var(--opaque-panel-text) [3 files] || var(--hc-accent) [1 files] || var(--opaque-panel-text, var(--hc-accent)) [1 files] || #334155 [1 files] || var(--mono-icon) [1 files]"
--form-surface,7,5,"var(--workspace-elevated-card-bg) [2 files] || var(--mono-input-surface) [1 files] || rgba(37, 39, 44, 0.985) [1 files] || var(--hc-control-bg) [1 files] || radial-gradient( 65% 60% at 50% -12%, rgba(255, 255, 255, 0.32) 0%, rgba(255, 255, 255, 0.18) 22%, rgba(255, 255, 255, 0.08) 36%, rgba(255, 255, 255, 0.02) 48%, rgba(255, 255, 255, 0.01) 56%, rgba(255, 255, 255, 0.003) 66%, rgba(255, 255, 255, 0) 74% ), rgba(28, 30, 36, 0.74) [1 files]"
--form-surface-hover,7,5,"var(--workspace-elevated-card-bg) [2 files] || var(--mono-input-surface-hover) [1 files] || var(--form-surface) [1 files] || var(--hc-control-bg-hover) [1 files] || radial-gradient( 65% 60% at 50% -12%, rgba(255, 255, 255, 0.38) 0%, rgba(255, 255, 255, 0.22) 22%, rgba(255, 255, 255, 0.1) 36%, rgba(255, 255, 255, 0.03) 48%, rgba(255, 255, 255, 0.015) 56%, rgba(255, 255, 255, 0.004) 66%, rgba(255, 255, 255, 0) 74% ), rgba(34, 36, 42, 0.78) [1 files]"
--seg-radio-bg,7,5,"var(--form-surface) [2 files] || rgba(14, 20, 32, 0.46) [1 files] || rgba(255, 255, 255, 0.46) [1 files] || rgba(253, 250, 249, 0.62) [1 files] || rgba(38, 38, 38, 0.5) [1 files]"
--drawer-delete-bg,7,4,"var(--opaque-panel-bg) [4 files] || rgba(14, 20, 32, 0.38) [1 files] || rgba(255, 255, 255, 0.48) [1 files] || rgba(250, 244, 242, 0.16) [1 files]"
--hc-control-bg,7,4,"rgba(var(--hc-accent-rgb),0.1) [1 files] || rgba(255, 234, 0, 0.1) !important [2 files] || rgba(255, 234, 0, 0.1) [1 files] || var(--chat-card-surface-night-standard-bg) [1 files]"
--hc-control-bg-active,7,4,"rgba(var(--hc-accent-rgb),0.14) [1 files] || rgba(255, 234, 0, 0.14) !important [2 files] || rgba(255, 234, 0, 0.14) [1 files] || linear-gradient(180deg, rgba(255, 234, 0, 0.12) 0%, rgba(255, 234, 0, 0.055) 100%), var(--chat-card-surface-night-standard-flat-bg) [1 files]"
--hc-control-bg-hover,7,4,"rgba(var(--hc-accent-rgb),0.12) [1 files] || rgba(255, 234, 0, 0.12) !important [2 files] || rgba(255, 234, 0, 0.12) [1 files] || linear-gradient(180deg, rgba(255, 234, 0, 0.08) 0%, rgba(255, 234, 0, 0.035) 100%), var(--chat-card-surface-night-standard-flat-bg) [1 files]"
--seg-radio-dot-bg,7,4,"var(--hc-accent) [2 files] || #7a3a38 [1 files] || var(--mono-icon) [1 files] || var(--form-accent, rgba(248, 253, 255, 0.9)) [1 files]"
--workspace-guide-panel-overscan-top,7,4,"clamp(1.6rem, 4.8vh, 2.4rem) [3 files] || var(--policy-scroll-overscan-top) [1 files] || clamp(2.2rem, 8vh, 3rem) [1 files] || var(--wellbeing-desktop-guide-overscan-top) [1 files]"
--focus-ring,7,3,"rgba(var(--hc-accent-rgb),0.5) [1 files] || var(--hc-focus-ring) [1 files] || color-mix(in srgb, var(--workspace-feature-accent) 48%, white 10%) [1 files]"
--form-surface-active,7,3,var(--form-surface-hover) [4 files] || var(--form-surface) [1 files] || var(--hc-control-bg-active) [1 files]
--mid-shell-soft-shadow,7,3,"none [5 files] || 0 16px 28px rgba(12, 7, 6, 0.15), 0 8px 14px rgba(12, 7, 6, 0.08) [1 files] || none !important [1 files]"
--orbit-accent,7,3,#7a3a38 [2 files] || var(--hc-accent) [2 files] || #c57171 [2 files]
--wellbeing-inner-bg,7,3,"transparent [1 files] || color-mix(in srgb, var(--glass-ring-surface-bg, rgba(255, 255, 255, 0.88)) 18%, transparent) [1 files] || color-mix(in srgb, var(--glass-ring-surface-bg, rgba(214, 198, 189, 0.78)) 14%, transparent) [1 files]"
--wellbeing-muted,7,3,"rgba(255, 255, 255, 0.78) [1 files] || rgba(0, 0, 0, 0.72) [1 files] || var(--hc-accent, #ffea00) [1 files]"
--wellbeing-strong-text,7,3,"rgba(255, 255, 255, 0.95) [1 files] || rgba(0, 0, 0, 0.94) [1 files] || var(--hc-accent, #ffea00) [1 files]"
