name,definitions,distinct_values,top_values
--btn-primary-shadow-focus,20,17,"inset 0 1px 0 rgba(220, 236, 255, 0.16), 0 8px 18px rgba(2, 6, 16, 0.32), 0 0 0 2px rgba(var(--hc-accent-rgb), 0.44) [1 files] || 0 0 0 3px rgba(148, 163, 184, 0.14) [2 files] || inset 0 1px 0 rgba(var(--dark-white-rgb), 0.12), 0 8px 18px rgba(var(--dark-black-rgb), 0.26), 0 0 0 3px var(--btn-primary-focus-ring-color) [1 files] || inset 0 1px 0 rgba(220, 236, 255, 0.16), 0 8px 18px rgba(2, 6, 16, 0.32), 0 0 0 3px rgba(255, 234, 0, 0.42) [1 files] || inset 0 1px 0 rgba(220, 236, 255, 0.16), 0 8px 18px rgba(2, 6, 16, 0.32), 0 0 0 2px rgba(var(--hc-accent-rgb),0.44) [1 files]"
--subpage-card-border,20,14,"transparent [4 files] || var(--documents-card-border) [2 files] || rgba(var(--mono-mid-rgb), 0.16) [1 files] || rgba(var(--hc-accent-rgb), 0.56) [1 files] || var(--mid-pill-surface-border, transparent) [1 files]"
--subpage-card-shadow-hover,20,14,none [3 files] || var(--btn-primary-shadow-hover) [3 files] || var(--input-shadow-hover) [2 files] || var(--glass-shell-shadow) [1 files] || var(--documents-soft-shadow) [1 files]
--input-shadow-hover,20,11,"none [5 files] || var(--mono-field-hole-shadow-hover) [2 files] || var(--mid-unified-surface-shadow-hover) [2 files] || 0 10px 22px rgba(0, 0, 0, 0.16) [1 files] || 0 10px 22px rgba(2, 6, 16, 0.16) [1 files]"
--input-shadow,20,10,"none [5 files] || var(--mono-field-hole-shadow) [2 files] || var(--mid-unified-surface-shadow) [2 files] || var(--subpage-card-shadow) [2 files] || 0 8px 18px rgba(0, 0, 0, 0.12) [1 files]"
--btn-primary-text,20,7,"var(--hc-accent) [3 files] || var(--hc-accent, #ffea00) [3 files] || var(--mono-icon) [1 files] || rgba(31, 41, 55, 0.92) [1 files] || #2f3a4a [1 files]"
--subpage-card-border-hover,19,16,"transparent [4 files] || rgba(var(--hc-accent-rgb), 0.9) [1 files] || rgba(var(--mono-mid-rgb), 0.14) [1 files] || var(--documents-card-border) [1 files] || rgba(255, 255, 255, 0.08) [1 files]"
--card-bg,19,14,"var(--mono-field-hole-bg) [2 files] || var(--input-bg) [2 files] || var(--input-bg-hover, var(--input-bg)) [2 files] || rgba(255, 234, 0, 0.1) !important [2 files] || var(--mono-field-hole-bg) !important [1 files]"
--home-panel-bg,18,16,"var(--glass-ring-surface-bg) [2 files] || rgba(16, 19, 24, 0.34) [1 files] || rgba(244, 241, 237, 0.86) [1 files] || rgba(203, 190, 186, 0.68) [1 files] || rgba(9, 18, 30, 0.38) [1 files]"
--glass-ring-surface-bg,16,14,"rgba(251, 245, 242, 0.4) [2 files] || rgba(20, 20, 20, 0.62) [1 files] || var(--home-panel-bg, rgba(251, 249, 246, 0.93)) [1 files] || var(--home-panel-bg, rgba(203, 190, 186, 0.79)) [1 files] || var(--home-panel-bg, rgba(16, 19, 24, 0.84)) [1 files]"
--panel-secondary-border,16,14,"transparent [2 files] || var(--documents-panel-border) [1 files] || var(--mid-pill-surface-border, transparent) [1 files] || rgba(148, 163, 184, 0.2) [1 files] || rgba(var(--hc-accent-rgb),0.72) [1 files]"
--seg-card-bg-selected,16,11,"var(--seg-card-bg) [4 files] || rgba(255, 234, 0, 0.1) !important [2 files] || rgba(var(--hc-accent-rgb),0.16) [1 files] || rgba(var(--hc-accent-rgb), 0.1) [1 files] || rgba(255, 234, 0, 0.14) [1 files]"
--glow-color,15,11,"rgba(197, 113, 113, 0.52) !important [1 files] || rgba(255, 234, 0, 0.64) [2 files] || rgba(255, 255, 255, 0.5) !important [1 files] || rgba(var(--mono-light-rgb), 0.44) [1 files] || rgba(255, 122, 126, 0.62) [1 files]"
--glow-color-10,15,11,"rgba(197, 113, 113, 0.07) !important [1 files] || rgba(255, 234, 0, 0.08) [2 files] || rgba(255, 255, 255, 0.07) !important [1 files] || rgba(var(--mono-light-rgb), 0.05) [1 files] || rgba(255, 122, 126, 0.07) [1 files]"
--glow-color-20,15,11,"rgba(197, 113, 113, 0.11) !important [1 files] || rgba(255, 234, 0, 0.13) [2 files] || rgba(255, 255, 255, 0.11) !important [1 files] || rgba(var(--mono-light-rgb), 0.08) [1 files] || rgba(255, 122, 126, 0.12) [1 files]"
--glow-color-30,15,11,"rgba(197, 113, 113, 0.16) !important [1 files] || rgba(255, 234, 0, 0.2) [2 files] || rgba(255, 255, 255, 0.16) !important [1 files] || rgba(var(--mono-light-rgb), 0.12) [1 files] || rgba(255, 122, 126, 0.18) [1 files]"
--glow-color-40,15,11,"rgba(197, 113, 113, 0.22) !important [1 files] || rgba(255, 234, 0, 0.27) [2 files] || rgba(255, 255, 255, 0.22) !important [1 files] || rgba(var(--mono-light-rgb), 0.17) [1 files] || rgba(255, 122, 126, 0.25) [1 files]"
--glow-color-50,15,11,"rgba(197, 113, 113, 0.28) !important [1 files] || rgba(255, 234, 0, 0.34) [2 files] || rgba(255, 255, 255, 0.28) !important [1 files] || rgba(var(--mono-light-rgb), 0.22) [1 files] || rgba(255, 122, 126, 0.32) [1 files]"
--glow-color-60,15,11,"rgba(197, 113, 113, 0.34) !important [1 files] || rgba(255, 234, 0, 0.4) [2 files] || rgba(255, 255, 255, 0.34) !important [1 files] || rgba(var(--mono-light-rgb), 0.28) [1 files] || rgba(255, 122, 126, 0.39) [1 files]"
--input-placeholder,15,10,"rgba(var(--hc-accent-rgb),0.92) [1 files] || rgba(255, 234, 0, 0.92) [2 files] || rgba(var(--hc-accent-rgb), 0.92) [1 files] || rgba(255, 234, 0, 0.72) [1 files] || var( --workspace-feature-field-placeholder, var(--input-placeholder, rgba(71, 85, 105, 0.72)) ) [1 files]"
--seg-card-bg-hover,15,9,"var(--form-surface-hover) [3 files] || var(--btn-primary-bg-hover) [2 files] || rgba(255, 234, 0, 0.12) [2 files] || rgba(255, 234, 0, 0.12) !important [2 files] || rgba(var(--hc-accent-rgb),0.14) [1 files]"
--glass-modal-bg,15,8,"var(--glass-ring-surface-bg) [7 files] || var(--home-panel-bg, rgba(251, 249, 246, 0.93)) [1 files] || var(--home-panel-bg, rgba(203, 190, 186, 0.79)) [1 files] || var(--home-panel-bg, rgba(16, 19, 24, 0.84)) [1 files] || var(--home-panel-bg, rgba(12, 17, 27, 0.86)) [1 files]"
--input-text,15,8,"var(--hc-accent) [3 files] || var(--hc-accent, #ffea00) [1 files] || var(--workspace-feature-field-text, var(--input-text, #243044)) [1 files] || #1f2937 [1 files] || var(--subpage-card-text) [1 files]"
--glass-shell-shadow,15,7,"none !important [6 files] || none [2 files] || var(--glass-ring-glow-dark) [2 files] || 0 0 18px rgba(255, 234, 0, 0.22), 0 0 34px rgba(255, 234, 0, 0.12), 0 12px 22px -16px rgba(255, 234, 0, 0.2) [1 files] || 0 18px 40px rgba(0, 0, 0, 0.16) [1 files]"
