category,value,count,file_count,example_files
hex,#8d4d4a,2,2,app/styles/features/documents/workspace.css | app/styles/shared/glass-core.css
hex,#45b981,2,1,app/styles/features/service-map/desktop/base.css
hex,#d88b45,2,1,app/styles/features/service-map/desktop/base.css
hex,#64748b,2,1,app/styles/features/service-map/desktop/popup.css
hex,#a85151,2,1,app/styles/features/service-map/desktop/toolbar.css
hex,#9a534d,2,2,app/styles/theme/light.css | app/styles/theme/mid.css
hex,#fff6f6,2,1,app/styles/theme/mid.css
hex,#d08a8a,2,1,app/styles/tokens.css
hex,#2f1f1e,2,1,components/chat/WorkspacePanel.module.css
hex,#403631,2,1,components/chat/WorkspacePanel.module.css
hex,#243244,2,2,components/covision/CovisionPage.module.css | components/wellbeing/WellbeingPage.module.css
hex,#1d2939,2,2,components/covision/CovisionPage.module.css | components/ui/PageInfoButton.module.css
hex,#202a3a,2,2,components/covision/CovisionPage.module.css | components/ui/PageInfoButton.module.css
hex,#f3f8ff,2,2,components/covision/CovisionPage.module.css | components/ui/PageInfoButton.module.css
hex,#d7e2f5,2,1,components/covision/CovisionPage.module.css
hex,#120f17,2,1,components/ui/BorderGlow.module.css
hex,#c299ff,2,1,components/ui/BorderGlow.module.css
hex,#151c27,2,1,components/ui/PageInfoButton.module.css
hex,#f6f9ff,2,1,components/ui/PageInfoButton.module.css
hex,#1f2a39,2,1,components/wellbeing/WellbeingPage.module.css
hex,#6f5853,1,1,app/styles/base/core.css
hex,#1a2736,1,1,app/styles/base/core.css
hex,#fff7b0,1,1,app/styles/features/chat/hc.css
hex,#fff59a,1,1,app/styles/features/documents/ui.css
hex,#d5f0ff,1,1,app/styles/features/documents/workspace.css
hex,#d7ffe1,1,1,app/styles/features/documents/workspace.css
hex,#f9deb0,1,1,app/styles/features/documents/workspace.css
hex,#ffd6d6,1,1,app/styles/features/documents/workspace.css
hex,#465161,1,1,app/styles/features/documents/workspace.css
hex,#166534,1,1,app/styles/features/documents/workspace.css
hex,#854d0e,1,1,app/styles/features/documents/workspace.css
hex,#7f1d1d,1,1,app/styles/features/documents/workspace.css
hex,#495465,1,1,app/styles/features/documents/workspace.css
hex,#0d111b,1,1,app/styles/features/home/mobile-foundations.css
hex,#8f2f2f,1,1,app/styles/features/register/coarse-pointer.css
hex,#ffe2e2,1,1,app/styles/features/register/coarse-pointer.css
hex,#171a20,1,1,app/styles/features/service-map/desktop/base.css
hex,#1e222a,1,1,app/styles/features/service-map/desktop/base.css
hex,#4b5567,1,1,app/styles/features/service-map/desktop/base.css
hex,#536071,1,1,app/styles/features/service-map/desktop/base.css
hex,#132033,1,1,app/styles/features/service-map/desktop/leaflet.css
hex,#2f5f8f,1,1,app/styles/features/service-map/desktop/leaflet.css
hex,#168a72,1,1,app/styles/features/service-map/desktop/leaflet.css
hex,#a23b72,1,1,app/styles/features/service-map/desktop/leaflet.css
hex,#eef0ef,1,1,app/styles/features/service-map/desktop/shell.css
hex,#d7c6c0,1,1,app/styles/features/service-map/desktop/shell.css
hex,#9f4643,1,1,app/styles/features/service-map/desktop/toolbar.css
hex,#a7f3d0,1,1,app/styles/shared/login-a11y.css
hex,#065f46,1,1,app/styles/shared/login-a11y.css
hex,#222,1,1,app/styles/theme/hc.css
hex,#fff48a,1,1,app/styles/theme/hc.css
hex,#2b2620,1,1,app/styles/theme/light.css
hex,#1f1b16,1,1,app/styles/theme/light.css
hex,#222222,1,1,app/styles/theme/light.css
hex,#d3d3d3,1,1,app/styles/theme/light.css
hex,#f5f5f4,1,1,app/styles/theme/light.css
hex,#fdfcf9,1,1,app/styles/theme/light.css
hex,#3b3329,1,1,app/styles/theme/light.css
hex,#374151,1,1,app/styles/theme/light.css
hex,#8f5550,1,1,app/styles/theme/light.css
hex,#9a5a55,1,1,app/styles/theme/light.css
hex,#f5f6f8,1,1,app/styles/theme/light.css
hex,#eef1f4,1,1,app/styles/theme/light.css
hex,#495466,1,1,app/styles/theme/light.css
hex,#0f766e,1,1,app/styles/theme/light.css
hex,#b91c1c,1,1,app/styles/theme/light.css
hex,#15803d,1,1,app/styles/theme/light.css
hex,#7a2323,1,1,app/styles/theme/mid.css
hex,#7f1d2d,1,1,app/styles/theme/mid.css
hex,#81504b,1,1,app/styles/theme/mid.css
hex,#868686,1,1,app/styles/theme/mono.css
hex,#aeaeae,1,1,app/styles/theme/mono.css
hex,#d6d6d6,1,1,app/styles/theme/mono.css
hex,#d28a8a,1,1,app/styles/theme/mono.css
hex,#e1a0a0,1,1,app/styles/tokens.css
hex,#ecebe9,1,1,app/styles/tokens.css
hex,#edeae6,1,1,app/styles/tokens.css
hex,#e6e5e3,1,1,app/styles/tokens.css
hex,#dfdeda,1,1,app/styles/tokens.css
hex,#c9c7c2,1,1,app/styles/tokens.css
hex,#afaaa3,1,1,app/styles/tokens.css
hex,#7e7970,1,1,app/styles/tokens.css
hex,#55514c,1,1,app/styles/tokens.css
hex,#141c27,1,1,app/styles/tokens.css
hex,#111825,1,1,app/styles/tokens.css
hex,#0c121a,1,1,app/styles/tokens.css
hex,#eef3fb,1,1,app/styles/tokens.css
hex,#99a8bf,1,1,app/styles/tokens.css
hex,#f4b36b,1,1,app/styles/tokens.css
hex,#3ab6a7,1,1,app/styles/tokens.css
hex,#ff7480,1,1,app/styles/tokens.css
hex,#4ade80,1,1,app/styles/tokens.css
hex,#f59e0b,1,1,components/chat/WorkspacePanel.module.css
hex,#a16207,1,1,components/chat/WorkspacePanel.module.css
hex,#141414,1,1,components/chat/WorkspacePanel.module.css
hex,#f2f7ff,1,1,components/covision/CovisionPage.module.css
hex,#324158,1,1,components/covision/CovisionPage.module.css
hex,#44546a,1,1,components/covision/CovisionPage.module.css
hex,#356851,1,1,components/covision/CovisionPage.module.css
hex,#9f4f4b,1,1,components/covision/CovisionPage.module.css
hex,#334055,1,1,components/covision/CovisionPage.module.css
hex,#445067,1,1,components/covision/CovisionPage.module.css
hex,#315f4a,1,1,components/covision/CovisionPage.module.css
hex,#7f3936,1,1,components/covision/CovisionPage.module.css
hex,#eef2f8,1,1,components/covision/CovisionPage.module.css
hex,#f8fbff,1,1,components/covision/CovisionPage.module.css
hex,#eee5e1,1,1,components/ui/PageInfoButton.module.css
hex,#e6dad6,1,1,components/ui/PageInfoButton.module.css
hex,#111b28,1,1,components/ui/PageInfoButton.module.css
hex,#2f8f67,1,1,components/wellbeing/WellbeingPage.module.css
hex,#e6ad3e,1,1,components/wellbeing/WellbeingPage.module.css
hex,#bd4e4e,1,1,components/wellbeing/WellbeingPage.module.css
hex,#e7b85f,1,1,components/wellbeing/WellbeingPage.module.css
hex,#5eb2a4,1,1,components/wellbeing/WellbeingPage.module.css
hex,#d56969,1,1,components/wellbeing/WellbeingPage.module.css
rgb,"rgba(0, 0, 0, 0.25)",62,27,app/styles/components/workspace-help-listings.css | app/styles/features/chat/help-listings-modal-surfaces.css | app/styles/features/chat/mobile.css | app/styles/features/chat/shell.css | app/styles/features/chat/themes.css | app/styles/features/documents/agent.css | app/styles/features/documents/mobile.css | app/styles/features/documents/ui.css
rgb,"rgba(0, 0, 0, 0)",56,9,app/styles/features/chat/shell.css | app/styles/features/policy/pages.css | app/styles/features/policy/responsive.css | app/styles/features/profile/mobile.css | app/styles/features/profile/mono.css | app/styles/shared/workspace-guide.css | app/styles/theme/mid.css | components/CenteredScrollPicker.css
rgb,"rgba(255, 122, 126, 0)",42,3,app/styles/features/chat/shell.css | app/styles/features/service-map/desktop/popup.css | app/styles/shared/ui-glow.css
rgb,"rgba(255, 255, 255, 0)",41,10,app/styles/base/backgrounds.css | app/styles/features/policy/pages.css | app/styles/shared/glass-subpage.css | app/styles/shared/login-a11y.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/tokens.css
